Organisation Name,Meeting Date,Sequence Identifier,Proposal Text,Recommendation
United Utilities Group PLC,21/07/2023,3,Remuneration Report,For
United Utilities Group PLC,21/07/2023,4,Elect David Higgins,For
United Utilities Group PLC,21/07/2023,5,Elect Louise Beardmore,For
United Utilities Group PLC,21/07/2023,6,Elect Phil Aspin,For
United Utilities Group PLC,21/07/2023,7,Elect Liam Butterworth,For
United Utilities Group PLC,21/07/2023,8,Elect Kathleen Cates,For
United Utilities Group PLC,21/07/2023,9,Elect Alison Goligher,For
First Group,21/07/2023,1,Review Report into timetabling,Against
First Group,21/07/2023,1,Accounts and Reports,For
First Group,21/07/2023,10,Elect Ryan Mangold,For
First Group,21/07/2023,11,Elect David Martin,For
First Group,21/07/2023,12,Elect Graham Sutherland,For
First Group,21/07/2023,13,Appointment of Auditor,For
First Group,21/07/2023,14,Authority to Set Auditor's Fees,For
First Group,21/07/2023,15,Authority to Issue Shares w/ Preemptive Rights,For
First Group,21/07/2023,16,Authority to Issue Shares w/o Preemptive Rights,For
First Group,21/07/2023,17,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
First Group,21/07/2023,18,Authority to Repurchase Shares,For
First Group,21/07/2023,19,Authorisation of Political Donations,For
First Group,21/07/2023,2,Remuneration Report,For
First Group,21/07/2023,20,Authority to Set General Meeting Notice Period at 14 Days,For
First Group,21/07/2023,3,Final Dividend,For
First Group,21/07/2023,4,Elect Sally Cabrini,For
First Group,21/07/2023,5,Elect Myrtle Dawes,For
First Group,21/07/2023,6,Elect Anthony Green,For
First Group,21/07/2023,7,Elect Claire L. Hawkings,For
First Group,21/07/2023,8,Elect Jane Lodge,For
First Group,21/07/2023,9,Elect Peter Lynas,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,1,Eligibility for Issuance of Corporate Bonds to Professional Investors,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.1,Issuance Size,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.2,Duration of Bonds,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.3,Issuance Method,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.4,Use of Proceeds,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.5,Guarantee Matters,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,2.6,Validity of Resolution,For
CECEP Techand Ecology & Environment Co. Ltd.,21/07/2023,3,Board Authorization to Handle Matters Regarding Issuance of Corporate Bonds to Professional Investors,For
Blink Charging Co,24/07/2023,1.01,Elect Ritsaart J.M. van Montfrans,For
Blink Charging Co,24/07/2023,1.02,Elect Brendan S. Jones,For
Blink Charging Co,24/07/2023,1.03,Elect Aviv Hillo,For
Blink Charging Co,24/07/2023,1.04,Elect Mahidhar Reddy,For
Blink Charging Co,24/07/2023,1.05,Elect Jack Levine,For
Blink Charging Co,24/07/2023,1.06,Elect Kristina A. Peterson,For
Blink Charging Co,24/07/2023,1.07,Elect Cedric L. Richmond,For
Blink Charging Co,24/07/2023,2.,Amendment to the 2018 Incentive Compensation Plan,For
Blink Charging Co,24/07/2023,3.,Ratification of Auditor,For
Plus500 Ltd,24/07/2023,1,Authority to Repurchase Shares,For
Cranswick plc,24/07/2023,1,Accounts and Reports,For
Cranswick plc,24/07/2023,10,Elect Christopher Aldersley,For
Cranswick plc,24/07/2023,11,Elect Yetunde Hofmann,For
Cranswick plc,24/07/2023,12,Appointment of Auditor,For
Cranswick plc,24/07/2023,13,Authority to Set Auditor's Fees,For
Cranswick plc,24/07/2023,14,Authority to Issue Shares w/ Preemptive Rights,For
Cranswick plc,24/07/2023,15,Authority to Issue Shares w/o Preemptive Rights,For
Cranswick plc,24/07/2023,16,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Cranswick plc,24/07/2023,17,Authority to Repurchase Shares,For
Cranswick plc,24/07/2023,18,Authority to Set General Meeting Notice Period at 14 Days,For
Cranswick plc,24/07/2023,19,Save As You Earn Plan,For
Cranswick plc,24/07/2023,2,Remuneration Report,For
Cranswick plc,24/07/2023,3,Final Dividend,For
Cranswick plc,24/07/2023,4,Elect Liz Barber,For
Cranswick plc,24/07/2023,5,Elect Mark  Bottomley,For
Cranswick plc,24/07/2023,6,Elect Jim Brisby,For
Cranswick plc,24/07/2023,7,Elect Adam Couch,For
Cranswick plc,24/07/2023,8,Elect Pamela Powell,For
Cranswick plc,24/07/2023,9,Elect Tim Smith,For
DiscoverIE Group Plc,24/07/2023,1,Accounts and Reports,For
DiscoverIE Group Plc,24/07/2023,10,Elect Celia Baxter,For
DiscoverIE Group Plc,24/07/2023,11,Appointment of Auditor,For
DiscoverIE Group Plc,24/07/2023,12,Authority to Set Auditor's Fees,For
DiscoverIE Group Plc,24/07/2023,13,Authority to Issue Shares w/ Preemptive Rights,For
DiscoverIE Group Plc,24/07/2023,14,Authority to Issue Shares w/ Preemptive Rights (Rights Issue),For
DiscoverIE Group Plc,24/07/2023,15,Authority to Issue Shares w/o Preemptive Rights,For
DiscoverIE Group Plc,24/07/2023,16,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
DiscoverIE Group Plc,24/07/2023,17,Authority to Issue Shares w/o Preemptive Rights (Rights Issue),For
DiscoverIE Group Plc,24/07/2023,18,Authority to Repurchase Shares,For
DiscoverIE Group Plc,24/07/2023,19,Authority to Set General Meeting Notice Period at 14 Days,For
DiscoverIE Group Plc,24/07/2023,2,Final Dividend,For
DiscoverIE Group Plc,24/07/2023,20,Authorisation of Political Donations,For
DiscoverIE Group Plc,24/07/2023,3,Remuneration Report,For
DiscoverIE Group Plc,24/07/2023,4,Elect Bruce M. Thompson,For
DiscoverIE Group Plc,24/07/2023,5,Elect Nick Jefferies,For
DiscoverIE Group Plc,24/07/2023,6,Elect Simon Gibbins,For
DiscoverIE Group Plc,24/07/2023,7,Elect Tracey Graham,For
DiscoverIE Group Plc,24/07/2023,8,Elect Clive Watson,For
DiscoverIE Group Plc,24/07/2023,9,Elect Rosalind Kainyah,For
Linde Plc,24/07/2023,1A,Elect Stephen F. Angel,For
Linde Plc,24/07/2023,1B,Elect Sanjiv Lamba,For
Linde Plc,24/07/2023,1C,Elect Ann-Kristin Achleitner,For
Linde Plc,24/07/2023,1D,Elect Thomas Enders,For
Linde Plc,24/07/2023,1E,Elect Hugh Grant,For
Linde Plc,24/07/2023,1F,Elect Joe Kaeser,For
Linde Plc,24/07/2023,1G,Elect Victoria E. Ossadnik,For
Linde Plc,24/07/2023,1H,Elect Martin H. Richenhagen,For
Linde Plc,24/07/2023,1I,Elect Alberto Weisser,For
Linde Plc,24/07/2023,1J,Elect Robert L. Wood,For
Linde Plc,24/07/2023,2A,Ratification of Auditor,For
Linde Plc,24/07/2023,2B,Authority to Set Auditor's Fees,For
Linde Plc,24/07/2023,3,Advisory Vote on Executive Compensation,For
Linde Plc,24/07/2023,4,Amendment to Supermajority Requirements,For
DXC Technology Co,25/07/2023,1a.,Elect David A. Barnes,For
DXC Technology Co,25/07/2023,1b.,Elect Raul J. Fernandez,For
DXC Technology Co,25/07/2023,1c.,Elect Anthony Gonzalez,For
DXC Technology Co,25/07/2023,1d.,Elect David L. Herzog,For
DXC Technology Co,25/07/2023,1e.,Elect Pinkie D. Mayfield,For
DXC Technology Co,25/07/2023,1f.,Elect Karl Racine,For
DXC Technology Co,25/07/2023,1g.,Elect Dawn Rogers,For
DXC Technology Co,25/07/2023,1h.,Elect Michael J. Salvino,For
DXC Technology Co,25/07/2023,1i.,Elect Carrie W. Teffner,For
DXC Technology Co,25/07/2023,1j.,Elect Akihiko Washington,For
DXC Technology Co,25/07/2023,1k.,Elect Robert F. Woods,For
DXC Technology Co,25/07/2023,2.,Ratification of Auditor,For
DXC Technology Co,25/07/2023,3.,Advisory Vote on Executive Compensation,For
VF Corp.,25/07/2023,1a.,Elect Richard T. Carucci,For
VF Corp.,25/07/2023,1b.,Elect Alex Cho,For
VF Corp.,25/07/2023,1c.,Elect Juliana L. Chugg,For
VF Corp.,25/07/2023,1d.,Elect Benno Dorer,For
VF Corp.,25/07/2023,1e.,Elect Mark S. Hoplamazian,For
VF Corp.,25/07/2023,1f.,Elect Laura W. Lang,For
VF Corp.,25/07/2023,1g.,Elect W. Rodney McMullen,For
VF Corp.,25/07/2023,1h.,"Elect Clarence Otis, Jr.",For
VF Corp.,25/07/2023,1i.,Elect Carol L. Roberts,For
VF Corp.,25/07/2023,1j.,Elect Matthew J. Shattock,For
VF Corp.,25/07/2023,2.,Advisory Vote on Executive Compensation,For
VF Corp.,25/07/2023,4.,Ratification of Auditor,For
Vodafone Group plc,25/07/2023,1,Accounts and Reports,For
Vodafone Group plc,25/07/2023,10,Elect Kandimathie (Christine) Ramon,For
Vodafone Group plc,25/07/2023,11,Elect Simon Segars,For
Vodafone Group plc,25/07/2023,12,Final Dividend,For
Vodafone Group plc,25/07/2023,13,Remuneration Policy,For
Vodafone Group plc,25/07/2023,14,Remuneration Report,For
Vodafone Group plc,25/07/2023,15,Appointment of Auditor,For
Vodafone Group plc,25/07/2023,16,Authority to Set Auditor's Fees,For
Vodafone Group plc,25/07/2023,17,Authority to Issue Shares w/ Preemptive Rights,For
Vodafone Group plc,25/07/2023,18,Authority to Issue Shares w/o Preemptive Rights,For
Vodafone Group plc,25/07/2023,19,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Vodafone Group plc,25/07/2023,2,Elect .Jean-Fran�ois M. L. van Boxmeer,For
Vodafone Group plc,25/07/2023,20,Authority to Repurchase Shares,For
Vodafone Group plc,25/07/2023,21,Authorisation of Political Donations,For
Vodafone Group plc,25/07/2023,22,Authority to Set General Meeting Notice Period at 14 Days,For
Vodafone Group plc,25/07/2023,23,Global Incentive Plan,For
Vodafone Group plc,25/07/2023,3,Elect Margherita Della Valle,For
Vodafone Group plc,25/07/2023,4,Elect Stephen A. Carter,For
Vodafone Group plc,25/07/2023,5,Elect Michel Demar�,For
Vodafone Group plc,25/07/2023,6,Elect Delphine Ernotte Cunci,For
Vodafone Group plc,25/07/2023,7,Elect Deborah L. Kerr,For
Vodafone Group plc,25/07/2023,8,Elect Amparo Moraleda,For
Vodafone Group plc,25/07/2023,9,Elect David T. Nish,For
Mitie Group plc,25/07/2023,1,Accounts and Reports,For
Mitie Group plc,25/07/2023,10,Elect Chetan Kumar Patel,For
Mitie Group plc,25/07/2023,11,Elect Ommasalma Shah,For
Mitie Group plc,25/07/2023,12,Appointment of Auditor,For
Mitie Group plc,25/07/2023,13,Authority to Set Auditor's Fees,For
Mitie Group plc,25/07/2023,14,Authorisation of Political Donations,For
Mitie Group plc,25/07/2023,15,Authority to Issue Shares w/ Preemptive Rights,For
Mitie Group plc,25/07/2023,16,Authority to Repurchase Shares,For
Mitie Group plc,25/07/2023,17,Authority to Set General Meeting Notice Period at 14 Days,For
Mitie Group plc,25/07/2023,2,Remuneration Report,For
Mitie Group plc,25/07/2023,3,Final Dividend,For
Mitie Group plc,25/07/2023,4,Elect Derek Mapp,For
Mitie Group plc,25/07/2023,5,Elect Phil Bentley,For
Mitie Group plc,25/07/2023,6,Elect Simon Kirkpatrick,For
Mitie Group plc,25/07/2023,7,Elect Jennifer Duvalier,For
Mitie Group plc,25/07/2023,8,Elect Mary Reilly,For
Mitie Group plc,25/07/2023,9,Elect Roger Yates,For
B&M European Value Retail S.A.,25/07/2023,1,Receive Directors' Report,For
B&M European Value Retail S.A.,25/07/2023,10,Elect Alejandro Russo,For
B&M European Value Retail S.A.,25/07/2023,11,Elect Mike Schmidt,For
B&M European Value Retail S.A.,25/07/2023,12,Elect Ron McMillan,For
B&M European Value Retail S.A.,25/07/2023,13,Elect Tiffany Hall,For
B&M European Value Retail S.A.,25/07/2023,14,Elect Paula MacKenzie,For
B&M European Value Retail S.A.,25/07/2023,15,Elect Oliver Tant,For
B&M European Value Retail S.A.,25/07/2023,16,Ratification of Auditor's Acts,For
B&M European Value Retail S.A.,25/07/2023,17,Appointment of Auditor,For
B&M European Value Retail S.A.,25/07/2023,18,Authority to Set Auditor's Fees,For
B&M European Value Retail S.A.,25/07/2023,19,Authority to Repurchase Shares,For
B&M European Value Retail S.A.,25/07/2023,2,Receive Accounts and Reports,For
B&M European Value Retail S.A.,25/07/2023,20,Authority to Issue Shares w/o Preemptive Rights,For
B&M European Value Retail S.A.,25/07/2023,21,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
B&M European Value Retail S.A.,25/07/2023,3,Approve Accounts and Reports,For
B&M European Value Retail S.A.,25/07/2023,4,Approve Accounts and Reports (Consolidated),For
B&M European Value Retail S.A.,25/07/2023,5,Approve Results; Allocation of Profits,For
B&M European Value Retail S.A.,25/07/2023,6,Allocation of Dividends,For
B&M European Value Retail S.A.,25/07/2023,7,Remuneration Report,For
B&M European Value Retail S.A.,25/07/2023,8,Ratification of Board Acts,For
B&M European Value Retail S.A.,25/07/2023,9,Elect Peter Bamford,For
B&M European Value Retail S.A.,25/07/2023,1,Amendments to Articles (Authority to Issue Shares),For
Molten Ventures Plc,26/07/2023,1,Accounts and Reports,For
Molten Ventures Plc,26/07/2023,10,Authority to Set Auditor's Fees,For
Molten Ventures Plc,26/07/2023,11,Authority to Issue Shares w/ Preemptive Rights,For
Molten Ventures Plc,26/07/2023,12,Authority to Issue Shares w/o Preemptive Rights,For
Molten Ventures Plc,26/07/2023,13,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Molten Ventures Plc,26/07/2023,14,Authority to Repurchase Shares,For
Molten Ventures Plc,26/07/2023,15,Authority to Set General Meeting Notice Period at 14 Days,For
Molten Ventures Plc,26/07/2023,2,Remuneration Report,For
Molten Ventures Plc,26/07/2023,3,Elect Stuart Chapman,For
Molten Ventures Plc,26/07/2023,4,Elect Grahame Cook,For
Molten Ventures Plc,26/07/2023,5,Elect Martin Davis,For
Molten Ventures Plc,26/07/2023,6,Elect Sarah Gentleman,For
Molten Ventures Plc,26/07/2023,7,Elect Gervaise Slowey,For
Molten Ventures Plc,26/07/2023,8,Elect Ben Wilkinson,For
Molten Ventures Plc,26/07/2023,9,Appointment of Auditor,For
Ninety One Plc,26/07/2023,1,Elect Hendrik J. du Toit,For
Ninety One Plc,26/07/2023,10,Remuneration Policy,For
Ninety One Plc,26/07/2023,11,Approval of Climate Strategy,For
Ninety One Plc,26/07/2023,12,Accounts and Reports (Ninety One plc),For
Ninety One Plc,26/07/2023,13,Final Dividend (Ninety One plc),For
Ninety One Plc,26/07/2023,14,Appointment of Auditor (Ninety One plc),For
Ninety One Plc,26/07/2023,15,Authority to Set Auditor's Fees (Ninety One plc),For
Ninety One Plc,26/07/2023,16,Authority to Issue Shares w/ Preemptive Rights,For
Ninety One Plc,26/07/2023,17,Authority to Repurchase Shares,For
Ninety One Plc,26/07/2023,18,Authority to Set General Meeting Notice Period at 14 Days,For
Ninety One Plc,26/07/2023,2,Elect Kim M. McFarland,For
Ninety One Plc,26/07/2023,20,Final Dividend (Ninety One Ltd),For
Ninety One Plc,26/07/2023,21,Appointment of Auditor (Ninety One Limited),For
Ninety One Plc,26/07/2023,22.1,Elect Victoria Cochrane,For
Ninety One Plc,26/07/2023,22.2,Elect Colin D. Keogh,For
Ninety One Plc,26/07/2023,22.3,Elect Khumo L. Shuenyane,For
Ninety One Plc,26/07/2023,23,Authority to Issue Shares (Ninety One Ltd),For
Ninety One Plc,26/07/2023,24, Authority to Issue Ordinary Shares for Cash (Ninety One Limited),For
Ninety One Plc,26/07/2023,25,Authority to acquire ordinary shares of Ninety One Limited ,For
Ninety One Plc,26/07/2023,26,Approve Financial Assistance (Ninety One Limited),For
Ninety One Plc,26/07/2023,27,Non- Executive Directors' Fees (Ninety One Limited),For
Ninety One Plc,26/07/2023,3,Elect Gareth Penny,For
Ninety One Plc,26/07/2023,4,Elect Idoya Fernanda Basterrechea Aranda,For
Ninety One Plc,26/07/2023,5,Elect Colin D. Keogh,For
Ninety One Plc,26/07/2023,6,Elect Busisiwe (Busi) A. Mabuza,For
Ninety One Plc,26/07/2023,7,Elect Victoria Cochrane,For
Ninety One Plc,26/07/2023,8,Elect Khumo L. Shuenyane,For
Ninety One Plc,26/07/2023,9,Remuneration Report,For
Brown-Forman Corp.,27/07/2023,1a.,Elect Campbell P. Brown,For
Brown-Forman Corp.,27/07/2023,1b.,Elect Elizabeth M. Brown,For
Brown-Forman Corp.,27/07/2023,1c.,Elect Stuart R. Brown,For
Brown-Forman Corp.,27/07/2023,1d.,Elect Mark A. Clouse,For
Brown-Forman Corp.,27/07/2023,1e.,Elect Marshall B. Farrer,For
Brown-Forman Corp.,27/07/2023,1f.,Elect Michael J. Roney,For
Brown-Forman Corp.,27/07/2023,1g.,Elect Jan E. Singer,For
Brown-Forman Corp.,27/07/2023,1h.,Elect Tracy L. Skeans,For
Brown-Forman Corp.,27/07/2023,1i.,Elect Elizabeth A. Smith,For
Brown-Forman Corp.,27/07/2023,1j.,Elect Michael A. Todman,For
Brown-Forman Corp.,27/07/2023,1k.,Elect Lawson E. Whiting,For
Brown-Forman Corp.,27/07/2023,2.,Advisory Vote on Executive Compensation,For
Brown-Forman Corp.,27/07/2023,3.,Frequency of Advisory Vote on Executive Compensation,For
Brown-Forman Corp.,27/07/2023,4.,Ratification of Auditor,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,O1.,Accounts and Reports,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,O2.,Allocation of Profits/Dividends,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,O3.,Elect G. V. Prasad,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,S4.,Elect Claudio Albrecht as Independent Director,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,S5.,Elect Leo Puri as Independent Director,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,S6.,Elect Shikha Sharma as Independent Director,For
Dr. Reddy`s Laboratories Ltd.,27/07/2023,S7.,Approve Payment of Fees to Cost Auditors,For
Horizon Therapeutics Plc,27/07/2023,1a.,Elect Gino Santini,For
Horizon Therapeutics Plc,27/07/2023,1b.,Elect James S. Shannon,For
Horizon Therapeutics Plc,27/07/2023,1c.,Elect Timothy P. Walbert,For
Horizon Therapeutics Plc,27/07/2023,2.,Appointment of Auditor and Authority to Set Fees,For
Horizon Therapeutics Plc,27/07/2023,3.,Advisory Vote on Executive Compensation,For
CMC Markets Plc,27/07/2023,1,Accounts and Reports,For
CMC Markets Plc,27/07/2023,10,Elect Euan W. Marshall,For
CMC Markets Plc,27/07/2023,11,Elect Matthew D. Lewis,For
CMC Markets Plc,27/07/2023,12,Appointment of Auditor,For
CMC Markets Plc,27/07/2023,13,Authority to Set Auditor's Fees,For
CMC Markets Plc,27/07/2023,14,Remuneration Report,For
CMC Markets Plc,27/07/2023,15,Authority to Issue Shares w/ Preemptive Rights,For
CMC Markets Plc,27/07/2023,16,Authority to Issue Shares w/o Preemptive Rights,For
CMC Markets Plc,27/07/2023,17,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
CMC Markets Plc,27/07/2023,18,Authority to Repurchase Shares,For
CMC Markets Plc,27/07/2023,19,Authority to Set General Meeting Notice Period at 14 Days,For
CMC Markets Plc,27/07/2023,2,Final Dividend,For
CMC Markets Plc,27/07/2023,3,Elect Clare Francis,For
CMC Markets Plc,27/07/2023,4,Elect Susanne Chishti,For
CMC Markets Plc,27/07/2023,5,Elect James S. Richards,For
CMC Markets Plc,27/07/2023,6,Elect Peter A. Cruddas,For
CMC Markets Plc,27/07/2023,7,Elect David J. Fineberg,For
CMC Markets Plc,27/07/2023,8,Elect Sarah Ing,For
CMC Markets Plc,27/07/2023,9,Elect Paul Wainscott,For
Tate & Lyle plc,27/07/2023,1,Accounts and Reports,For
Tate & Lyle plc,27/07/2023,10,Elect Isabelle Esser,For
Tate & Lyle plc,27/07/2023,11,Elect Lars Vinge Frederiksen,For
Tate & Lyle plc,27/07/2023,12,Elect Kimberly A. Nelson,For
Tate & Lyle plc,27/07/2023,13,Elect Sybella Stanley,For
Tate & Lyle plc,27/07/2023,14,Elect Warren G. Tucker,For
Tate & Lyle plc,27/07/2023,15,Appointment of Auditor,For
Tate & Lyle plc,27/07/2023,16,Authority to Set Auditor's Fees,For
Tate & Lyle plc,27/07/2023,17,Authorisation of Political Donations,For
Tate & Lyle plc,27/07/2023,18,Authority to Issue Shares w/ Preemptive Rights,For
Tate & Lyle plc,27/07/2023,19,Authority to Issue Shares w/o Preemptive Rights,For
Tate & Lyle plc,27/07/2023,2,Remuneration Policy,For
Tate & Lyle plc,27/07/2023,20,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Tate & Lyle plc,27/07/2023,21,Authority to Repurchase Shares,For
Tate & Lyle plc,27/07/2023,22,Authority to Set General Meeting Notice Period at 14 Days,For
Tate & Lyle plc,27/07/2023,3,Remuneration Report,For
Tate & Lyle plc,27/07/2023,4,Final Dividend,For
Tate & Lyle plc,27/07/2023,5,Elect Gerry M. Murphy,For
Tate & Lyle plc,27/07/2023,6,Elect Nick Hampton,For
Tate & Lyle plc,27/07/2023,7,Elect Dawn Allen,For
Tate & Lyle plc,27/07/2023,8,Elect John Cheung,For
Tate & Lyle plc,27/07/2023,9,Elect Patr�cia Corsi,For
The Global Smaller Companies Trust Plc,28/07/2023,1,Accounts and Reports,For
The Global Smaller Companies Trust Plc,28/07/2023,10,Appointment of Auditor,For
The Global Smaller Companies Trust Plc,28/07/2023,11,Authority to Set Auditor's Fees,For
The Global Smaller Companies Trust Plc,28/07/2023,12,Authority to Issue Shares w/ Preemptive Rights,For
The Global Smaller Companies Trust Plc,28/07/2023,13,Authority to Issue Shares w/o Preemptive Rights,For
The Global Smaller Companies Trust Plc,28/07/2023,14,Authority to Repurchase Shares,For
The Global Smaller Companies Trust Plc,28/07/2023,15,Authority to Set General Meeting Notice Period at 14 Days,For
The Global Smaller Companies Trust Plc,28/07/2023,2,Remuneration Policy,For
The Global Smaller Companies Trust Plc,28/07/2023,3,Remuneration Report,For
The Global Smaller Companies Trust Plc,28/07/2023,4,Final Dividend,For
The Global Smaller Companies Trust Plc,28/07/2023,5,Elect Nick Bannerman,For
The Global Smaller Companies Trust Plc,28/07/2023,6,Elect Graham Oldroyd,For
The Global Smaller Companies Trust Plc,28/07/2023,7,Elect Anja Balfour,For
The Global Smaller Companies Trust Plc,28/07/2023,8,Elect Josephine Dixon,For
The Global Smaller Companies Trust Plc,28/07/2023,9,Elect David Stileman,For
Syncona Limited,01/08/2023,1,Accounts and Reports,For
Syncona Limited,01/08/2023,10,Elect Gian Piero Reverberi,For
Syncona Limited,01/08/2023,11,Remuneration Report,For
Syncona Limited,01/08/2023,12,Remuneration Policy,For
Syncona Limited,01/08/2023,13,Authority to Issue Shares w/ Preemptive Rights,For
Syncona Limited,01/08/2023,14,Authority to Repurchase Shares,For
Syncona Limited,01/08/2023,15,Authority to Issue Shares w/o Preemptive Rights,For
Syncona Limited,01/08/2023,2,Appointment of Auditor,For
Syncona Limited,01/08/2023,3,Authority to Set Auditor's Fees,For
Syncona Limited,01/08/2023,4,Elect Melanie Gee,For
Syncona Limited,01/08/2023,5,Elect Julie Cherrington,For
Syncona Limited,01/08/2023,6,Elect Cristina Csimma,For
Syncona Limited,01/08/2023,7,Elect Virginia Holmes,For
Syncona Limited,01/08/2023,8,Elect Robert Hutchinson,For
Syncona Limited,01/08/2023,9,Elect Kemal Malik,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,1,Accounts and Reports,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,10,Dividend Policy,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,11,Scrip Dividend,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,12,Authority to Repurchase Shares,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,13,Authority to Issue Shares w/o Preemptive Rights,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,2,Remuneration Report,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,3,Elect Robert Jennings,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,4,Elect Sandra Platts,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,5,Elect James Stewart,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,6,Elect Tim Drayson,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,7,Elect Fiona Le Poidevin,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,8,Appointment of Auditor,For
Sequoia Economic Infrastructure Income Fund Limited,02/08/2023,9,Authority to Set Auditor's Fees,For
Wizz Air Holdings Plc,02/08/2023,1,Accounts and Reports,For
Wizz Air Holdings Plc,02/08/2023,10,Elect Barry Eccleston (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,11,Elect Andrew Broderick,For
Wizz Air Holdings Plc,02/08/2023,12,Elect Charlotte Pedersen ,For
Wizz Air Holdings Plc,02/08/2023,13,Elect Charlotte Pedersen (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,14,Elect Charlotte Andsager ,For
Wizz Air Holdings Plc,02/08/2023,15,Elect Charlotte Andsager (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,16,Elect Enrique Dupuy de Lome Chavarri,For
Wizz Air Holdings Plc,02/08/2023,17,Elect Enrique Dupuy de Lome Chavarri (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,18,Elect Anthony Radev,For
Wizz Air Holdings Plc,02/08/2023,19,Elect Anthony Radev (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,2,Remuneration Report,For
